,missing_count,missing_pct
milliseconds,1018,10.18
laps,978,9.78
points,971,9.71
fastestLapSpeed,953,9.53
year,0,0.0
raceId,0,0.0
resultId,0,0.0
positionOrder,0,0.0
grid,0,0.0
round,0,0.0
fastestLap,0,0.0
rank,0,0.0
fastestLapTime,0,0.0
driverRef,0,0.0
surname,0,0.0
forename,0,0.0
dob,0,0.0
nationality_x,0,0.0
constructorRef,0,0.0
name,0,0.0
nationality_y,0,0.0
circuitRef,0,0.0
circuitId,0,0.0
name_y,0,0.0
location,0,0.0
country,0,0.0
lat,0,0.0
lng,0,0.0
alt,0,0.0
date,0,0.0
target_finish,0,0.0
